,ts,id.orig_h,duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,proto_icmp,proto_tcp,proto_udp,conn_state_OTH,conn_state_REJ,conn_state_RSTO,conn_state_RSTOS0,conn_state_RSTR,conn_state_RSTRH,conn_state_S0,conn_state_S1,conn_state_S2,conn_state_S3,conn_state_SF,conn_state_SH,conn_state_SHR
0,1540469831,192.168.1.132,0.003497,0,0,0,5,212,3,144,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1540469831,192.168.1.132,0.036724,34,311,0,1,62,1,339,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1540469418,192.168.1.132,384.518261,15072,0,0,48,16416,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,1540470082,192.168.1.132,0.270332,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1540470187,192.168.1.132,0.111429,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1540470355,192.168.1.132,0.114433,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,1540470420,192.168.1.132,0.016984,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,1540470731,192.168.1.132,0.003497,0,0,0,4,172,2,92,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1540470731,192.168.1.132,0.040227,34,311,0,1,62,1,339,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,1540471111,192.168.1.132,0.270346,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10,1540471275,192.168.1.132,0.109684,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,1540471418,192.168.1.132,0.114426,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12,1540471494,192.168.1.132,0.01698,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13,1540469863,192.168.1.132,1633.04433,60288,0,0,192,65664,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
14,1540471632,192.168.1.132,0.003498,0,0,0,4,172,2,92,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,1540471631,192.168.1.132,0.183145,34,311,0,1,62,1,339,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16,1540472192,192.168.1.132,0.272344,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
17,1540472315,192.168.1.132,0.109436,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
18,1540471557,192.168.1.132,766.04856,28260,0,0,90,30780,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19,1540472385,192.168.1.132,50.851218,3768,0,0,12,4104,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20,1540472525,192.168.1.132,0.088446,1847,1539,0,7,2139,7,1823,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,1540472525,192.168.1.132,0.109187,1847,791,0,6,2099,6,1035,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,1540472525,192.168.1.132,0.050455,37,179,0,1,65,1,207,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
23,1540472525,192.168.1.132,0.003998,37,442,0,1,65,1,470,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,1540472525,192.168.1.132,0.000499,37,100,0,1,65,1,128,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
25,1540472525,192.168.1.132,0.0005,37,132,0,1,65,1,160,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
26,1540472532,192.168.1.132,0.003499,0,0,0,4,172,3,132,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,1540472532,192.168.1.132,0.04621,34,297,0,1,62,1,325,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
28,1540472494,192.168.1.132,0.114417,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
29,1540472539,192.168.1.132,0.017238,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
30,1540472502,192.168.1.132,50.868027,3768,0,0,12,4104,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
31,1540473275,192.168.1.132,0.269349,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
32,1540473432,192.168.1.132,0.003495,0,0,0,5,212,3,144,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,1540473432,192.168.1.132,0.036214,34,311,0,1,62,1,339,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
34,1540472614,192.168.1.132,1480.810378,52752,0,0,168,57456,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
35,1540474332,192.168.1.132,0.003496,0,0,0,4,172,2,92,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,1540474332,192.168.1.132,0.200137,34,297,0,1,62,1,325,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
37,1540474467,192.168.1.132,0.109694,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
38,1540474595,192.168.1.132,0.116179,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39,1540474660,192.168.1.132,0.016732,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
40,1540475232,192.168.1.132,3.000292,0,0,0,6,276,2,92,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,1540475232,192.168.1.132,0.119679,34,297,0,1,62,1,325,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
42,1540474155,192.168.1.132,1032.879228,37680,0,0,120,41040,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
43,1540475249,192.168.1.132,50.83058,3768,0,0,12,4104,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
